Adlerweg;DI 2;DI 2;DI 2;15
Adolf-Grimme-Str.;DO 2;DO 2;DO 2;14
Agnesstr.;D0 2;D0 1;D0 2;29
Ahornweg;MI 1;MI 1;DI 2;13
Akazienweg;MI 1;MI 1;DI 2;13
Alberskamp;DI 1;DI 1;DI 2;7
Allensteiner Str.;D0 1;DO 1;D0 2;4
AIoys-Weddeling-Str.;FR 2;FR 2;MO 1;9
Alpenrosenweg;M0 2;M0 2;M0 2;8
Alte Brüderstr.;D0 2;DO 2;D0 2;14
Alte Str.;DI 1;DI 1;DI 2;7
Altendorfer Str.;FR1;FR 2;M0 1;1
Alter Hervester Weg;M0 1;FR1;M0 1;12
Alter Polsumer Weg;FR1;FR 2;M0 1;1
Altmarkt;FR 2;FR 2;FR 2;25
Altweide;FR 2;FR 2;M0 1;9
Am Alten Kotten;FR1;FR 2;M0 1;1
Am Alten Pfarrhaus;FR1;FR 2;M0 1;1
Am Alten Pütt;DI 2;DI 2;M0 2;13
Am Alten Sportplatz;D0 2;D0 2;D0 2;16
Am Bachufer;DI 1;DI 1;DI 2;3
Am Busch;FR 2;FR 2;M0 1;26
Am Diekkamp;FR 1;FR 2;M0 1;1
Am Dörnenkamp;FR1;FR 2;M0 1;1
Am Echtenhoff;FR 2;FR 2;M0 1;9
Am Erzschacht;MI 2;MI ?;MI 2;17
Am Gänsebrink;Mo 2;Mo 2;Mo 2;13
Am Gernegraben;Mo 2;Mo 3;Mo 4;8
Am Gro8eu Grr+rte;M0 2;MU I;M0 2;21
Am Hidding;DI 1;DI 1;DI 2;7
Am Hole;FR1;FR 2;M0 1;12
Am Hülsberg;M0 1;M0 1;DI 2;21
Am Jahn-Stadion;M0 1;M0 2;M0 2;23
Am Kanal 0-320;M0 1;FR 1;M0 1;12
Am Kanal 323-347;M0 1;FR 2;M0 1;12
Am Knäpken;DI 1;DI 1;DI 2;7
Am Loe;D0 1;M0 2;M0 2;30
Am Lütkenkamp außer 16a;FR 1;MJ 1;M0 1;30
Am LütkenKamp 16a;D0 1;MI 1;M0 1;30
Auf dem Anschuss;FR 1;FR 2;M0 1;1
Auf dem Hügel;DI 2;DI 2;DI 2;20
Auf der Ruhr;DI 1;DI 1;DI 2;15
Auf Höwings Feld;D0 1;MI 1;M0 2;30
Augustastr.;M0 2;M0 2;M0 2;23
August-Schmidt-Str.;M0 2;M0 2;M0 2;23
Bachackerweg;DI 1;DI 1;DI 2;15
Bachstelzenweg;DI 2;DI 2;DI 2;20
Bachstr.;MI 1;MI 1;MI 2;13
Badische Str.;M! 1;MI 1;MI 2;2
Bahnhofstr. 1-159;M0 2;M0 1;M0 2;21
Bahnhofstr. 160/ 163-204;M0 1;M0 1;M0 2;18
Baldurstr.;DI 1;DI 1;DI 2;3
BaIthasar-Neumann-Str.;FR 1;FR1;FR 2;26
Baltrumer  Str.;D0 1;M0 2;M0 2;22
Barbarastr.;FR 2;FR1;FR 2;11
Barkhausstr.;D0 1;D0 1;DO 2;25
Banholomäusstr.;FR1;FR 2;M0 1;1
Bartokstr.;MO 1;M0 2;M0 2;6
Bayernstr.;MI 1;MI 1;MI 2;2
Bebelstr.;D0 2;D0 2;DO 2;10
Beethovenstr.;DI 2;DI 2;M0 2;23
Begonienstr.;MI 2;MI 2;MI 2;5
Benzstr.;M0 2;M0 1;DI 2;21
Bergstr  1-54;MI 1;MI 1;MI 2;13
Bergstr. 60 - 166 / 173;MI 2;Mi 2;MI 2;24
Bergst. 175 / 182-233;Do 2;Do 2;Do 2;14
Biberweg;Fr 2;Fr 1;Fr 2;11
Birkenbusch;MO 1;MI   1;M0 2;18
Birkenkamp;MI 1;MI  1;MI 2;17
Birkenstr.;DI 2;Bl 1;DI 2;3
Birkhuhnstr.;DI 1;DI 1;D! 2;19
Bitterfelder Str.;MI 2;MI 2;MI 2;10
Blumenstr.;FR1;FR1;FR 2;26
Bogenstr.;D0 1;D0 1;FR 2;28
Bohnenkamp;DI 1;DI 1;DI 2;7
Bonifatiusstr.;D0 2;DO 1;DO 2;29
Borgsheider Weg;M0  1;M0 1;M0 2;18
Borkumer Str.;D0 1;M0 2;M0 2;22
Carl-Duisberg-Str. 1-59;DI 2;DI 2;DI 2;20
Carl-Duisberg-Str. 111-Ende;DI 2;DI 1;DI 2;20
Carl-Spitzweg-Str.;FR 1;FR1;FR 2;26
Centrumstr.;D0 1;D0 2;D0 2;29
Cheruskerstr.;DI 1;DI 1;DI 2;3
Clara-Wieck-Str.;DI 2;M0 2;M0 2;23
Creiler Platz;D0 2;D0 2;D0 2;14
Dahlbrede;D0 1;M0 2;M0 2;30
Dahlienstr.;MI 2;MI 2;MI 2;5
Daimlerstr.;M0 2;M0 1;DI 2;21
Dammstr;FR 2;FR1;M0 1;25
Deipenbrauk;FR 1;FR 2;M0 1;1
Dennenkamp;FR1;FR 2;M0 1;1
Dickebank;DI 2;DI 2;DI 2;20
Dieselstr.;M0 2;M0 1;DI 2;21
Dorfstr.;FR 2;FR 2;M0 1;9
Dormagener Str.;MI 2;MI 2;MI 2;10
Dorstener Str.;FR1;FR 2;M0 1;27
Dr.-BrüII-Str.;FR1;FR 1;FR 2;25
Dr.-KIausener-Str.;M0 1;M0 2;M0 2;23
Drewerstr.;MT 1;D0 2;MI 2;16
Drosselstr.;DI 1;DI 1;DI 2;15
Droste-HüIshoff-Str.;M0 1;M0 1;M0 2;23
Dümmerweg 201-250;MI 2;MI 2;D0 2;5
Dürerstr. ;FR1;FR 1;FR 2;26
Eduard-Weitsch-Weg;D0 1;D0 2;D0 2;14
Eibischweg;M0 2;M0 2;M0 2;8
Eichendorffweg;D0 1;DO 1;FR 2;28
Eichenstr.;D0 1;MI 1;MO 2;30
Eifelweg;MI 1;MI 1;MI 2;2
Elbestr.;D0 2;FR 1;M0 1;12
